,Returns,Average Return (Last 10 episodes),Epsilon
151,13.0,1824.9,0.05
152,130.0,1824.9,0.05
153,153.0,1824.9,0.05
154,443.0,1824.9,0.05
155,159.0,1824.9,0.05
156,149.0,1824.9,0.05
157,170.0,1824.9,0.05
158,193.0,1824.9,0.05
159,249.0,1824.9,0.05
160,192.0,1824.9,0.05
161,171.0,1824.9,0.05
162,203.0,1824.9,0.05
163,242.0,1824.9,0.05
164,309.0,1824.9,0.05
165,56854.0,1824.9,0.05
166,15.0,1824.9,0.05
167,70.0,1824.9,0.05
168,332.0,1824.9,0.05
169,167.0,1824.9,0.05
170,159.0,1824.9,0.05
171,437.0,1824.9,0.05
172,249.0,1824.9,0.05
173,173.0,1824.9,0.05
174,204.0,1824.9,0.05
175,183.0,1824.9,0.05
176,197.0,1824.9,0.05
177,187.0,1824.9,0.05
178,197.0,1824.9,0.05
179,205.0,1824.9,0.05
180,210.0,1824.9,0.05
181,228.0,1824.9,0.05
182,243.0,1824.9,0.05
183,233.0,1824.9,0.05
184,275.0,1824.9,0.05
185,384.0,1824.9,0.05
186,2661.0,1824.9,0.05
187,262.0,1824.9,0.05
188,275.0,1824.9,0.05
189,306.0,1824.9,0.05
190,280.0,1824.9,0.05
191,345.0,1824.9,0.05
192,16561.0,1824.9,0.05
193,21.0,1824.9,0.05
194,458.0,1824.9,0.05
195,115.0,1824.9,0.05
196,119.0,1824.9,0.05
197,131.0,1824.9,0.05
198,185.0,1824.9,0.05
199,164.0,1824.9,0.05
200,150.0,1824.9,0.05
